molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,assay_type
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,41.0,nM,B
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,300.0,nM,F
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,7820.0,nM,F
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,170.0,nM,B
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM,F
CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,440.0,nM,F
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,IC50,9300.0,nM,B
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,IC50,500000.0,nM,B
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,IC50,3000000.0,nM,B
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],IC50,96000.0,nM,B
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,5310.0,nM,B
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,IC50,264000.0,nM,B
CHEMBL76589,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,IC50,125.0,nM,B
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,IC50,1250000.0,nM,B
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,IC50,625000.0,nM,B
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,IC50,35000.0,nM,B
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,IC50,900000.0,nM,B
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,0.45,nM,B
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,IC50,10000.0,nM,B
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,IC50,60000.0,nM,B
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,IC50,600000.0,nM,B
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,IC50,850000.0,nM,B
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,IC50,3000.0,nM,B
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,8000.0,nM,B
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,IC50,1300000.0,nM,B
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,IC50,1360000.0,nM,B
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,IC50,165000.0,nM,B
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,IC50,250000.0,nM,B
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,IC50,1250000.0,nM,B
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,IC50,125000.0,nM,B
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,14.0,nM,B
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,IC50,1250000.0,nM,B
CHEMBL42423,O=[N+]([O-])c1ccc(O)c(O)c1,IC50,,nM,B
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,IC50,625000.0,nM,B
CHEMBL336113,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,IC50,1000.0,nM,B
CHEMBL133024,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,IC50,100.0,nM,B
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,IC50,13350.0,nM,B
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,IC50,350000.0,nM,B
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,IC50,14000.0,nM,B
CHEMBL441343,O=C(O)c1ccc(O)cc1,IC50,,nM,B
CHEMBL138125,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,IC50,238.0,nM,B
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,IC50,64.0,nM,B
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,IC50,1400000.0,nM,B
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,IC50,430000.0,nM,B
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,IC50,22.0,nM,B
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,IC50,13500.0,nM,B
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,IC50,250000.0,nM,B
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,4.5,nM,B
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,100.0,nM,F
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,,nM,F
CHEMBL332096,Nc1ccc2ncnc(NCc3ccccc3)c2c1,IC50,508.0,nM,B
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,IC50,450000.0,nM,B
CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,IC50,200.0,nM,B
CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,IC50,210.0,nM,B
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,1410.0,nM,B
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,5000.0,nM,F
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,4320.0,nM,F
CHEMBL69129,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCC(O)C1,IC50,,nM,B
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,IC50,833000.0,nM,B
CHEMBL76985,N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,IC50,47000.0,nM,B
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,IC50,1200000.0,nM,B
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,6.5,nM,B
CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,40.0,nM,F
